jaar,techniek
1548,Geen vermelding
1548,Geen vermelding
1650,Geen vermelding
1650,Geen vermelding
1650,Geen vermelding
1650,Geen vermelding
1680,Ondergrond (Gepolijst)
1680,Puimsteen
1680,Tinoxide
1698,Doek
1698,Geen vermelding
1747,Puimsteen
1747,Doek (Leer)
1747,Olie
1747,Trippelaarde
1747,Puimsteen
1747,Olie (Olijf)
1747,Doek
1747,Trippelaarde
1747,Puimsteen
1747,Doek (Leer)
1747,Olie
1747,Doek (Linnen)
1747,Paardenhaar
1747,Doek (Wol)
1747,Spekzwoerd
1747,Doek (Wol)
1764,Puimsteen
1764,Tinoxide
1764,Olie
1769,Was
1778,Ondergrond (Gepolijst)
1778,Met de tand
1778,Paardenstaart
1778,Doek
1778,Geen vermelding
1778,Geen vermelding
1778,Olie
1778,Doek
1778,Doek (Leer)
1778,Doek(Wasdoek)
1778,Trippelaarde
1778,Olie
1778,Paardenstaart
1778,Schuurbiezen
1778,Doek (Wol)
1778,Doek (Leer)
1778,Trippelaarde
1778,Puimsteen
1778,Schaafstro
1778,Doek
1778,Tinoxide
1778,Olie (Olijf)
1778,Doek (Leer)
1778,Trippelaarde
1778,Olie (Olijf)
1778,Doek (Leer)
1778,Trippelaarde
1790,Puimsteen
1790,Puimsteen (Gotlandsesteen)
1790,Doek
1790,Trippelaarde
1790,Olie
1790,Doek (Katoen)
1790,Bloem (Tarwe)
1790,Krijt
1790,Trippelaarde
1790,Doek (Wol)
1790,Olie (Lampen)
1790,Olie (Amandel)
1790,Bloem
1790,Olie
1794,Water
1794,Trippelaarde
1794,Water
1794,Trippelaarde
1794,Puimsteen (Gotlandsesteen)
1794,Olie (Terpentijn)
1794,Marmersteen
1794,Water
1794,Trippelaarde
1794,Doek
1794,Was
1794,Trippelaarde
1794,Olie (Lijnzaad)
1794,Bloem
1772,Puimsteen
1772,Haaienhuid
1772,Paardenstaart
1772,Olie (Olijf)
1772,Trippelaarde
1772,Houtskool
1772,Olie (Lijnzaad)
1779,Puimsteen
1779,Doek (Leer)
1779,Paardenstaart
1779,Trippelaarde
1779,Tinoxide
1779,Puimsteen
1779,Olie (Olijf)
1779,Bloem
1707,Doek (Linnen)
1707,Schaafstro
1707,Doek
1707,Schraapstaal (Eisen)
1707,Wol
1707,Houtskool
1707,Olie (Olijf)
1707,Was
1707,Doek
1688,Schaafstro
1688,Trippelaarde
1688,Doek (Linnen)
1688,Olie
1688,Trippelaarde
1688,Doek (Linnen)
